year,yield_corn,yield_soybean,yield_wheat,49_0,49_1,49_2,49_3,49_4,49_5,49_6,49_7,49_8,49_9,65_0,65_1,65_2,65_3,65_4,65_5,65_6,65_7,65_8,65_9,81_0,81_1,81_2,81_3,81_4,81_5,81_6,81_7,81_8,81_9,97_0,97_1,97_2,97_3,97_4,97_5,97_6,97_7,97_8,97_9,113_0,113_1,113_2,113_3,113_4,113_5,113_6,113_7,113_8,113_9,129_0,129_1,129_2,129_3,129_4,129_5,129_6,129_7,129_8,129_9,145_0,145_1,145_2,145_3,145_4,145_5,145_6,145_7,145_8,145_9,161_0,161_1,161_2,161_3,161_4,161_5,161_6,161_7,161_8,161_9,177_0,177_1,177_2,177_3,177_4,177_5,177_6,177_7,177_8,177_9,193_0,193_1,193_2,193_3,193_4,193_5,193_6,193_7,193_8,193_9,209_0,209_1,209_2,209_3,209_4,209_5,209_6,209_7,209_8,209_9,225_0,225_1,225_2,225_3,225_4,225_5,225_6,225_7,225_8,225_9,241_0,241_1,241_2,241_3,241_4,241_5,241_6,241_7,241_8,241_9,257_0,257_1,257_2,257_3,257_4,257_5,257_6,257_7,257_8,257_9
2000,8.591008323,2.561341842,2.823926609,633.0,3088.0,35146.0,15609.0,6302.0,2685.0,567.0,82.0,1.0,0.0,457.0,2479.0,34495.0,15425.0,7053.0,3310.0,1005.0,116.0,1.0,0.0,44.0,2045.0,28522.0,16553.0,9888.0,5052.0,2009.0,295.0,4.0,0.0,41.0,1487.0,24208.0,17015.0,11895.0,6604.0,2739.0,499.0,6.0,0.0,0.0,485.0,14595.0,18970.0,15242.0,9859.0,4157.0,1145.0,42.0,0.0,0.0,94.0,3871.0,16817.0,16377.0,13368.0,10783.0,3042.0,143.0,0.0,1.0,120.0,2321.0,12772.0,17089.0,16289.0,12173.0,3615.0,115.0,0.0,0.0,15.0,1606.0,5076.0,15412.0,16994.0,17836.0,7243.0,313.0,0.0,0.0,40.0,1182.0,2426.0,3871.0,7630.0,18545.0,26037.0,4763.0,1.0,0.0,82.0,948.0,2414.0,3815.0,4943.0,8671.0,21189.0,22305.0,128.0,3.0,186.0,1280.0,2309.0,3922.0,5025.0,7858.0,15641.0,28118.0,153.0,0.0,403.0,2042.0,3992.0,5533.0,6873.0,7685.0,19125.0,18841.0,1.0,0.0,380.0,2824.0,5519.0,6363.0,8524.0,13435.0,22780.0,4669.0,1.0,0.0,638.0,4510.0,9483.0,16467.0,14321.0,11139.0,7522.0,415.0,0.0
2001,8.673266259,2.663957741,2.701926998,5127.0,1607.0,15211.0,11288.0,2905.0,1133.0,437.0,68.0,1.0,0.0,4185.0,3153.0,22097.0,11172.0,3892.0,1378.0,546.0,152.0,3.0,0.0,2441.0,3956.0,27329.0,12171.0,6037.0,2008.0,595.0,161.0,9.0,0.0,203.0,1967.0,24879.0,20015.0,9930.0,5403.0,1744.0,230.0,3.0,0.0,3.0,670.0,17407.0,17865.0,15420.0,9486.0,3040.0,535.0,67.0,0.0,0.0,166.0,6584.0,17885.0,15467.0,13016.0,9015.0,2284.0,78.0,0.0,0.0,75.0,2201.0,10158.0,17497.0,16240.0,12087.0,5874.0,363.0,0.0,6.0,67.0,1149.0,5994.0,14593.0,17053.0,17659.0,7699.0,273.0,2.0,0.0,31.0,1294.0,2674.0,3330.0,5759.0,19520.0,25578.0,6309.0,0.0,0.0,87.0,1253.0,2660.0,3432.0,4210.0,11618.0,29093.0,12073.0,69.0,0.0,151.0,1458.0,2634.0,3658.0,4078.0,8108.0,18853.0,24972.0,583.0,0.0,348.0,1702.0,3566.0,5032.0,6559.0,7948.0,18704.0,20616.0,20.0,0.0,483.0,2169.0,5191.0,6371.0,7093.0,10844.0,23019.0,9325.0,0.0,0.0,600.0,2743.0,7118.0,10932.0,14067.0,17582.0,11261.0,192.0,0.0
2002,8.118009766,2.556752335,2.356827006,6300.0,4784.0,31190.0,13966.0,5728.0,1160.0,447.0,96.0,5.0,0.0,10502.0,3556.0,23171.0,15139.0,5728.0,949.0,502.0,120.0,3.0,0.0,4250.0,3050.0,27832.0,15805.0,7240.0,3612.0,711.0,140.0,6.0,0.0,64.0,2049.0,27771.0,18424.0,9219.0,5158.0,1586.0,193.0,11.0,0.0,15.0,1305.0,16315.0,17307.0,13252.0,11222.0,3987.0,1032.0,38.0,0.0,9.0,705.0,11772.0,15270.0,13806.0,12306.0,8150.0,2214.0,262.0,0.0,0.0,179.0,5796.0,16594.0,15515.0,12891.0,9387.0,3944.0,189.0,0.0,0.0,162.0,2360.0,5425.0,15748.0,18179.0,15096.0,7204.0,321.0,0.0,1.0,122.0,1744.0,3267.0,6013.0,11513.0,23764.0,17288.0,783.0,0.0,0.0,160.0,1273.0,3222.0,4759.0,6734.0,11637.0,25251.0,11456.0,3.0,0.0,245.0,1428.0,3786.0,5107.0,5794.0,9163.0,19278.0,19623.0,71.0,0.0,360.0,1914.0,3549.0,5614.0,6151.0,8955.0,17016.0,20924.0,12.0,0.0,340.0,1874.0,3920.0,6399.0,8354.0,11860.0,23201.0,8542.0,5.0,0.0,383.0,2226.0,5350.0,10579.0,17765.0,20523.0,7276.0,393.0,0.0
2003,8.924730059,2.276951926,2.971267579,19212.0,4514.0,17208.0,8173.0,4919.0,1276.0,574.0,168.0,4.0,0.0,7670.0,4531.0,32265.0,11301.0,5014.0,1529.0,653.0,192.0,5.0,0.0,710.0,2093.0,33642.0,14463.0,7458.0,4332.0,1430.0,299.0,7.0,0.0,46.0,991.0,27740.0,16620.0,9178.0,6450.0,2724.0,718.0,19.0,0.0,0.0,136.0,14267.0,19073.0,13638.0,9639.0,5675.0,1999.0,68.0,0.0,0.0,54.0,4371.0,17684.0,16278.0,13493.0,9072.0,3249.0,294.0,0.0,0.0,165.0,1755.0,12195.0,16854.0,16721.0,12101.0,4455.0,249.0,0.0,0.0,23.0,1028.0,3288.0,12880.0,19584.0,19248.0,8162.0,282.0,0.0,0.0,23.0,937.0,2731.0,4852.0,9712.0,25145.0,20095.0,1000.0,0.0,0.0,60.0,1354.0,3469.0,3827.0,4788.0,11339.0,25662.0,13996.0,0.0,1.0,140.0,1555.0,3966.0,4392.0,4998.0,7257.0,19083.0,22787.0,316.0,0.0,257.0,2386.0,4755.0,5932.0,6932.0,7814.0,17916.0,18496.0,7.0,0.0,518.0,2858.0,5603.0,6678.0,8661.0,14490.0,22724.0,2963.0,0.0,1.0,570.0,3463.0,6709.0,14392.0,16345.0,13524.0,8748.0,743.0,0.0
2004,10.06362843,2.840494487,2.902680249,7745.0,2932.0,18556.0,12799.0,3096.0,827.0,550.0,144.0,4.0,0.0,3211.0,3055.0,27263.0,15374.0,6191.0,1195.0,588.0,143.0,7.0,0.0,465.0,3093.0,31564.0,16784.0,8292.0,3022.0,810.0,239.0,5.0,0.0,1.0,1285.0,23170.0,19404.0,11645.0,6434.0,2193.0,328.0,35.0,0.0,1.0,374.0,14555.0,18066.0,14357.0,9899.0,5285.0,1827.0,130.0,1.0,4.0,78.0,7012.0,18512.0,13862.0,12202.0,8956.0,3537.0,329.0,1.0,0.0,34.0,3168.0,12331.0,15951.0,14813.0,11962.0,5796.0,440.0,0.0,1.0,29.0,2310.0,3580.0,8499.0,13760.0,18858.0,16476.0,982.0,0.0,0.0,16.0,842.0,2590.0,4458.0,10279.0,21438.0,21785.0,3087.0,0.0,1.0,33.0,634.0,1662.0,3528.0,4984.0,8620.0,24838.0,20136.0,59.0,1.0,123.0,1026.0,2112.0,3858.0,4820.0,6505.0,18396.0,27587.0,67.0,2.0,209.0,1373.0,2151.0,4216.0,6010.0,9023.0,17703.0,23796.0,12.0,2.0,406.0,1569.0,2932.0,5400.0,7696.0,10389.0,21735.0,14366.0,0.0,2.0,259.0,2082.0,5150.0,9925.0,15202.0,19391.0,12056.0,428.0,0.0
2005,9.285272542,2.896129569,2.823189978,10436.0,3854.0,25382.0,11585.0,5783.0,1485.0,658.0,293.0,26.0,0.0,7068.0,3981.0,29268.0,13059.0,6028.0,1607.0,662.0,318.0,49.0,0.0,706.0,2310.0,31185.0,17177.0,7938.0,3372.0,1076.0,448.0,35.0,0.0,9.0,588.0,22379.0,19230.0,12350.0,7043.0,2396.0,435.0,62.0,0.0,0.0,168.0,12430.0,18220.0,15862.0,11979.0,4563.0,1167.0,106.0,0.0,1.0,63.0,6204.0,18132.0,16698.0,14338.0,7293.0,1614.0,152.0,0.0,1.0,39.0,1745.0,11840.0,16581.0,17346.0,13068.0,3737.0,138.0,0.0,1.0,8.0,823.0,2986.0,9295.0,16605.0,22789.0,11710.0,278.0,0.0,0.0,42.0,1089.0,2634.0,3430.0,4984.0,15228.0,31454.0,5633.0,1.0,0.0,104.0,768.0,2216.0,3640.0,4796.0,9482.0,22989.0,20478.0,22.0,0.0,205.0,1113.0,2762.0,4498.0,5883.0,9591.0,16887.0,23365.0,191.0,0.0,317.0,1376.0,2809.0,4705.0,6686.0,9193.0,17741.0,21602.0,66.0,0.0,437.0,1666.0,3238.0,5544.0,7256.0,12671.0,27331.0,6352.0,0.0,0.0,463.0,2171.0,6119.0,15178.0,19586.0,15017.0,5867.0,94.0,0.0
2006,9.357832505,2.881782047,2.598711653,9309.0,3073.0,25941.0,13036.0,5327.0,976.0,291.0,39.0,0.0,0.0,4360.0,2967.0,26299.0,16529.0,6287.0,1531.0,526.0,111.0,1.0,0.0,971.0,2745.0,28620.0,18315.0,8356.0,3072.0,772.0,204.0,4.0,0.0,30.0,896.0,23383.0,20381.0,12102.0,5785.0,1484.0,395.0,14.0,0.0,2.0,238.0,12554.0,18459.0,16385.0,11233.0,4371.0,1194.0,59.0,0.0,0.0,115.0,5209.0,17963.0,14759.0,14636.0,9116.0,2584.0,113.0,0.0,0.0,70.0,3036.0,12218.0,18662.0,15476.0,10967.0,3923.0,143.0,0.0,0.0,21.0,2115.0,3945.0,10801.0,20425.0,19567.0,7442.0,179.0,0.0,0.0,31.0,1488.0,3286.0,4166.0,7190.0,18709.0,27064.0,2561.0,0.0,0.0,48.0,1345.0,3700.0,4608.0,5466.0,10053.0,20576.0,18687.0,12.0,0.0,126.0,2119.0,4622.0,5376.0,6445.0,8287.0,14367.0,22931.0,222.0,0.0,192.0,2801.0,4240.0,5606.0,6345.0,7074.0,15123.0,22693.0,421.0,0.0,355.0,2592.0,3931.0,5608.0,6705.0,10513.0,23583.0,11208.0,0.0,0.0,328.0,3167.0,5506.0,9367.0,15141.0,18806.0,11862.0,318.0,0.0
2007,9.458416633,2.806695173,2.704636853,13683.0,3020.0,14616.0,9375.0,4150.0,932.0,190.0,21.0,1.0,0.0,4029.0,3744.0,31161.0,11669.0,5261.0,1249.0,430.0,79.0,3.0,0.0,1747.0,2380.0,24775.0,15665.0,9842.0,6262.0,2835.0,803.0,22.0,0.0,134.0,1197.0,22633.0,17921.0,12410.0,6840.0,2614.0,664.0,34.0,0.0,1.0,110.0,14171.0,17936.0,16900.0,10444.0,3976.0,880.0,77.0,0.0,4.0,62.0,4115.0,17059.0,16145.0,15333.0,9911.0,1788.0,78.0,0.0,0.0,30.0,686.0,6923.0,16992.0,18510.0,15150.0,6028.0,176.0,0.0,0.0,23.0,623.0,2890.0,9255.0,18155.0,23005.0,10276.0,268.0,0.0,0.0,30.0,702.0,1996.0,3409.0,5997.0,17411.0,27787.0,7149.0,14.0,0.0,43.0,894.0,1754.0,3574.0,5810.0,11829.0,25760.0,14765.0,66.0,0.0,112.0,1207.0,2214.0,4486.0,6640.0,11216.0,19277.0,18924.0,419.0,0.0,247.0,1752.0,3090.0,5012.0,6838.0,12100.0,17780.0,17676.0,0.0,0.0,445.0,1948.0,3863.0,5668.0,9315.0,14404.0,23486.0,5366.0,0.0,0.0,678.0,2907.0,6654.0,14425.0,18751.0,14900.0,6135.0,45.0,0.0
2008,9.621052963,2.671861558,3.014640385,14204.0,3145.0,15752.0,7766.0,5036.0,1619.0,344.0,80.0,4.0,0.0,8964.0,4647.0,27837.0,8980.0,5220.0,2267.0,464.0,125.0,6.0,0.0,3426.0,4183.0,32574.0,13082.0,5641.0,3495.0,861.0,147.0,6.0,0.0,522.0,2262.0,29041.0,17808.0,7282.0,4857.0,2128.0,291.0,4.0,0.0,23.0,924.0,19515.0,18573.0,13241.0,7834.0,3620.0,744.0,6.0,0.0,6.0,240.0,11084.0,16906.0,13741.0,12023.0,8093.0,2314.0,88.0,0.0,0.0,30.0,3966.0,17193.0,14125.0,13631.0,11437.0,3993.0,120.0,0.0,0.0,63.0,2094.0,6338.0,15939.0,17786.0,15341.0,6786.0,148.0,0.0,0.0,74.0,1652.0,2515.0,5445.0,13884.0,26065.0,14025.0,835.0,0.0,0.0,118.0,1034.0,2469.0,4102.0,6379.0,14380.0,27807.0,8206.0,0.0,0.0,172.0,1307.0,2974.0,3969.0,5097.0,7310.0,20290.0,22934.0,442.0,0.0,235.0,1885.0,2922.0,4093.0,4303.0,7462.0,19952.0,23566.0,77.0,0.0,406.0,1934.0,3063.0,4889.0,6590.0,10908.0,22847.0,13858.0,0.0,0.0,597.0,2142.0,3812.0,6630.0,12698.0,20917.0,16693.0,1006.0,0.0
2009,10.31803911,2.959523732,2.980515617,9063.0,3817.0,28531.0,9129.0,3172.0,813.0,446.0,138.0,2.0,0.0,2973.0,3255.0,31151.0,11971.0,5191.0,1396.0,434.0,159.0,4.0,0.0,2087.0,1917.0,26724.0,14894.0,6857.0,3565.0,835.0,160.0,6.0,0.0,640.0,2423.0,31957.0,16134.0,7275.0,4424.0,1164.0,148.0,26.0,0.0,134.0,387.0,20950.0,19758.0,11009.0,7838.0,3721.0,620.0,33.0,0.0,7.0,182.0,9250.0,17405.0,15014.0,12832.0,7659.0,2013.0,133.0,0.0,0.0,89.0,3496.0,16205.0,16871.0,13467.0,10282.0,3843.0,242.0,0.0,0.0,30.0,1193.0,5071.0,12319.0,17728.0,18613.0,9192.0,348.0,0.0,0.0,37.0,1065.0,2781.0,6196.0,11640.0,21647.0,19320.0,1809.0,0.0,0.0,78.0,1123.0,2422.0,3079.0,4101.0,10731.0,25623.0,17312.0,26.0,0.0,214.0,1177.0,2028.0,3315.0,3886.0,7054.0,19346.0,27143.0,332.0,0.0,326.0,1439.0,2094.0,3447.0,4689.0,6146.0,16349.0,29627.0,378.0,0.0,401.0,1668.0,2945.0,5192.0,5558.0,7061.0,21829.0,19838.0,3.0,0.0,414.0,1960.0,4302.0,8288.0,12834.0,18776.0,17272.0,649.0,0.0
2010,9.575788835,2.924329904,3.102724925,7384.0,2278.0,11572.0,7750.0,2146.0,679.0,524.0,199.0,11.0,0.0,2072.0,6324.0,27413.0,15515.0,4603.0,1002.0,601.0,269.0,21.0,0.0,287.0,3443.0,33045.0,17664.0,6898.0,2012.0,741.0,172.0,6.0,0.0,18.0,832.0,22817.0,18374.0,13699.0,6355.0,2008.0,345.0,8.0,0.0,57.0,245.0,11387.0,17082.0,15614.0,13189.0,5494.0,1259.0,144.0,0.0,2.0,103.0,5555.0,16772.0,15895.0,14335.0,8764.0,2802.0,267.0,0.0,0.0,32.0,1516.0,12770.0,16967.0,16861.0,12323.0,3810.0,216.0,0.0,0.0,21.0,877.0,2520.0,5503.0,12983.0,21459.0,19270.0,1862.0,0.0,0.0,20.0,833.0,2204.0,3667.0,6677.0,19961.0,27549.0,3584.0,0.0,0.0,22.0,558.0,1281.0,3020.0,4770.0,8745.0,23188.0,22672.0,239.0,0.0,43.0,743.0,1529.0,3275.0,4971.0,8159.0,18201.0,26765.0,809.0,0.0,125.0,1154.0,2349.0,4841.0,6412.0,8054.0,18110.0,23416.0,34.0,0.0,223.0,1548.0,3489.0,6115.0,9059.0,17374.0,23657.0,3030.0,0.0,0.0,262.0,2249.0,7286.0,14855.0,19457.0,15547.0,4804.0,35.0,0.0
